no,product_name,pesticide_type,formulation,ingredient_name,ingredient_concentration,ingredient_unit,nama_komoditas,target_pest,dose_value,dose_unit,registered_at,expired_at
202,CALYPSO 480 SC,Insektisida,SC,tiakloprid (thiacloprid),480,g/l,padi,penggerek batang,2,ml/l,2025-07-11,2030-07-11
203,CARBAFUR 3 GR,Insektisida,GR,Karbofuran,3,%,padi,penggerek batang,15,kg/ha,2024-09-19,2029-09-19
204,CHLORADINO PLUS 10/40 WG,Insektisida,WG,Dinotefuran,40,%,padi,penggerek batang,"0,75",g/l,2025-07-11,2030-07-11
205,CHLORADINO PLUS 10/40 WG,Insektisida,WG,Klorantraniliprol,10,%,padi,penggerek batang,"0,75",g/l,2025-07-11,2030-07-11
206,CHLOTAP 200/20 SC,Insektisida,SC,Klorantraniliprol,20,g/l,padi,penggerek batang,3,ml/l,2026-01-20,2031-01-20
207,CHLOTAP 200/20 SC,Insektisida,SC,Monosultap,200,g/l,padi,penggerek batang,3,ml/l,2026-01-20,2031-01-20
208,CONTROL 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,2,ml/l,2023-02-08,2028-02-08
209,COPTEX PLUS 100/20 SC,Insektisida,SC,Klorfenapir,100,g/l,padi,penggerek batang,"0,75",ml/l,2025-02-17,2030-02-17
210,COPTEX PLUS 100/20 SC,Insektisida,SC,Spinosad,20,g/l,padi,penggerek batang,"0,75",ml/l,2025-02-17,2030-02-17
211,COSKO 120/35 SC,Insektisida,SC,emamektin benzoat,35,g/l,padi,penggerek batang,1,ml/l,2026-04-20,2031-04-20
212,COSKO 120/35 SC,Insektisida,SC,klorantraniliprol,120,g/l,padi,penggerek batang,1,ml/l,2026-04-20,2031-04-20
213,ELGON 150 EC,Insektisida,EC,INDOKSAKARB,150,g/l,padi,penggerek batang,1,ml/l,2023-02-08,2028-02-08
214,EMACEN 30 EC,Insektisida,EC,Emamektin benzoat,30,g/l,padi,penggerek batang,1,ml/l,2023-02-08,2028-02-08
215,EMASPID 43/171.5 SC,Insektisida,SC,Emamektin benzoat,43,g/l,padi,penggerek batang,1,ml/l,2025-11-13,2030-11-13
216,EMASPID 43/171.5 SC,Insektisida,SC,Spinosad,171.5,g/l,padi,penggerek batang,1,ml/l,2025-11-13,2030-11-13
217,EVISET 50 SP,Insektisida,SP,tiosiklam hidrogen oksalat,50,%,padi,penggerek batang,"0,75",kg/ha,2023-02-08,2028-02-08
218,"FERTERRA 0,4 GR",Insektisida,GR,Klorantraniliprol,"0,4",%,padi,penggerek batang,"7,5",kg/ha,2024-08-09,2029-08-09
219,FOLTUS 400 SL,Insektisida,SL,dimehipo,400,g/l,padi,penggerek batang,3,ml/l,2025-02-17,2030-02-17
220,FOLTUS PLUS 500 SL,Insektisida,SL,dimehipo,500,g/l,padi,penggerek batang,2,ml/l,2025-07-11,2030-07-11
221,HULK 20 SG,Insektisida,SG,Dinotefuran,20,%,padi,penggerek batang,2,g/l,2025-09-26,2030-09-26
222,HYPOLAX 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,3,ml/l,2021-11-18,2026-11-18
223,INCIPIO 200 SC,Insektisida,SC,Isocycloseram,200,g/l,padi,penggerek batang,"1,2",ml/l,2023-08-28,2028-08-28
224,INDOHIPO 500 SL,Insektisida,SL,dimehipo,500,g/l,padi,penggerek batang,2.25,ml/l,2025-09-26,2030-09-26
225,JAGONA 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,3,ml/l,2024-08-09,2029-08-09
226,KLIMAX 20 EC,Insektisida,EC,Abamektin,20,g/l,padi,penggerek batang,2,ml/l,2025-11-13,2030-11-13
227,KRATON 200 SC,Insektisida,SC,Klorantraniliprol,200,g/l,padi,penggerek batang,1,ml/l,2025-09-26,2030-09-26
228,MASTERSPIN PLUS 300/60 SC,Insektisida,SC,Metoksifenozida,300,g/l,padi,penggerek batang,1,ml/l,2025-07-11,2030-07-11
229,MASTERSPIN PLUS 300/60 SC,Insektisida,SC,Spinetoram,60,g/l,padi,penggerek batang,1,ml/l,2025-07-11,2030-07-11
230,MAZOTAM 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"1,5",ml/l,2025-02-17,2030-02-17
231,META-HIPO 400 SL,Insektisida,SL,DIMEHIPO,400,g/l,padi,penggerek batang,2,ml/l,2024-03-05,2029-03-05
232,MITRIN 320/32 SC,Insektisida,SC,Abamektin,32,g/l,padi,penggerek batang,2,ml/l,2023-04-26,2028-04-26
233,MITRIN 320/32 SC,Insektisida,SC,Imidakloprid,320,g/l,padi,penggerek batang,2,ml/l,2023-04-26,2028-04-26
234,MONOTHON 600 SC,Insektisida,SC,Klorantraniliprol,600,g/l,padi,penggerek batang,"0,5",ml/l,2025-09-26,2030-09-26
235,MORIOX 100/150 SC,Insektisida,SC,Dinotefuran,100,g/l,padi,penggerek batang,1,ml/l,2024-08-09,2029-08-09
236,MORIOX 100/150 SC,Insektisida,SC,Flonikamid,150,g/l,padi,penggerek batang,1,ml/l,2024-08-09,2029-08-09
237,"NEOFRON 0,5 GR",Insektisida,GR,Fipronil,"0,5",%,padi,penggerek batang,10,kg/ha,2024-03-05,2029-03-05
238,NILIPRO 50 SC,Insektisida,SC,Klorantraniliprol,50,g/l,padi,penggerek batang,1,ml/l,2026-01-20,2031-01-20
239,NUPRID 600 FS,Insektisida,FS,imidakloprid,600,g/l,padi,penggerek batang,3,ml/kg benih,2025-02-17,2030-02-17
240,OMNI-FUR 3 GR,Insektisida,GR,Karbofuran,3,%,padi,penggerek batang,20,kg/ha,2023-04-26,2028-04-26
241,Onact 30 ME,Insektisida,ME,isoflualanam,30,g/l,padi,penggerek batang,2,ml/l,2025-11-13,2030-11-13
242,PALTON 50 SC,Insektisida,SC,Klorantraniliprol,50,g/l,padi,penggerek batang,2,ml/l,2026-01-20,2031-01-20
243,PREVATHON PRO 200 SC,Insektisida,SC,Klorantraniliprol,200,g/l,padi,penggerek batang,"0,75",ml/l,2023-02-08,2028-02-08
244,PRIMADINE 450 SL,Insektisida,SL,dimehipo,450,g/l,padi,penggerek batang,"2,25",ml/l,2022-06-27,2027-06-27
245,PROMECTIN 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,2,ml/l,2024-03-05,2029-03-05
246,QILUSPIN 480 SC,Insektisida,SC,Spinosad,480,g/l,padi,penggerek batang,1,ml/l,2025-07-11,2030-07-11
247,QILUSPIN PLUS 6/4 WG,Insektisida,WG,Emamektin benzoat,4,%,padi,penggerek batang,1,g/l,2024-11-18,2029-11-18
248,QILUSPIN PLUS 6/4 WG,Insektisida,WG,Spinosad,6,%,padi,penggerek batang,1,g/l,2024-11-18,2029-11-18
249,RG 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,"1,5",ml/l,2024-11-18,2029-11-18
250,RIKA 25 EC,Insektisida,EC,Abamektin,25,g/l,padi,penggerek batang,"1,5",ml/l,2025-07-11,2030-07-11
251,RITA 38 EC,Insektisida,EC,Abamektin,38,g/l,padi,penggerek batang,"1,5",ml/l,2025-07-11,2030-07-11
252,Rockrole 100/200 SC,Insektisida,SC,Klorantraniliprol,100,g/l,padi,penggerek batang,"0,4",ml/l,2025-07-11,2030-07-11
253,Rockrole 100/200 SC,Insektisida,SC,Tiametoksam,200,g/l,padi,penggerek batang,"0,4",ml/l,2025-07-11,2030-07-11
254,RynaxPlus 100/300 SC,Insektisida,SC,Klorantraniliprol,100,g/l,padi,penggerek batang,2,ml/l,2026-04-20,2031-04-20
255,RynaxPlus 100/300 SC,Insektisida,SC,Klotianidin,300,g/l,padi,penggerek batang,2,ml/l,2026-04-20,2031-04-20
256,SENSATION 100/200 SC,Insektisida,SC,Chlorantraniliprole,100,g/l,padi,penggerek batang,1,ml/l,2026-01-20,2031-01-20
257,SENSATION 100/200 SC,Insektisida,SC,Thiamethoxam,200,g/l,padi,penggerek batang,1,ml/l,2026-01-20,2031-01-20
258,SHENZI 35 WG,Insektisida,WG,Klorantraniliprol,35,%,padi,penggerek batang,100,g/ha,2024-03-05,2029-03-05
259,SHENZI SMART 50 SC,Insektisida,SC,Klorantraniliprol,50,g/l,padi,penggerek batang,2,ml/l,2025-11-13,2030-11-13
260,SHOMEI 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,2,ml/l,2024-03-05,2029-03-05
261,STADIUM 18 EC,Insektisida,EC,Abamektin,18,g/l,padi,penggerek batang,1,ml/l,2024-03-05,2029-03-05
262,SUTORO 30 EC,Insektisida,EC,Emamektin Benzoat,30,g/l,padi,penggerek batang,2,ml/l,2025-02-17,2030-02-17
263,TAKUMI 20 WG,Insektisida,WG,Flubendiamida,20,%,padi,penggerek batang,250,g/ha,2024-03-04,2029-03-04
264,TALOS 150/30 SC,Insektisida,SC,klorfenapir,150,g/l,padi,penggerek batang,"1,5",ml/l,2024-09-19,2029-09-19
265,TALOS 150/30 SC,Insektisida,SC,lufenuron,30,g/l,padi,penggerek batang,"1,5",ml/l,2024-09-19,2029-09-19
266,TENNO 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,2,ml/l,2023-08-28,2028-08-28
267,TOPNIL 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,penggerek batang,1,ml/l,2024-03-05,2029-03-05
268,TRIACTIVE 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,penggerek batang,"1,5",ml/l,2025-02-17,2030-02-17
269,TROOP 20 WG,Insektisida,WG,Dinotefuran,20,%,padi,penggerek batang,2,g/l,2024-03-05,2029-03-05
270,TUSOO 480 SC,Insektisida,SC,Tiakloprid,480,g/l,padi,penggerek batang,2,ml/l,2024-03-04,2029-03-04
271,TWIKLE 55/5 WG,Insektisida,WG,Abamektin,5,%,padi,penggerek batang,1,g/l,2024-11-18,2029-11-18
272,TWIKLE 55/5 WG,Insektisida,WG,Monosultap,55,%,padi,penggerek batang,1,g/l,2024-11-18,2029-11-18
273,ULTIMARAC 360 SC,Insektisida,SC,Klorfenapir,360,g/l,padi,penggerek batang,"1,5",ml/l,2025-07-11,2030-07-11
274,VAYEGO QUANTUM 120 / 360 SC,Insektisida,SC,tetraniliprol,120,g/l,padi,penggerek batang,1,ml/l,2023-04-26,2028-04-26
275,VAYEGO QUANTUM 120 / 360 SC,Insektisida,SC,tiakloprid,360,g/l,padi,penggerek batang,1,ml/l,2023-04-26,2028-04-26
276,VENTURA 3 GR,Insektisida,GR,karbofuran,3,%,padi,penggerek batang,10,kg/ha,2024-09-19,2029-09-19
277,VERTHON 50 SC,Insektisida,SC,klorantraniliprol,50,g/l,padi,penggerek batang,2,ml/l,2025-11-13,2030-11-13
278,YAMITAP 2/78 WP,Insektisida,WP,Imidacloprid,2,%,padi,penggerek batang,1,g/l,2025-11-13,2030-11-13
279,YAMITAP 2/78 WP,Insektisida,WP,Monosultap,78,%,padi,penggerek batang,1,g/l,2025-11-13,2030-11-13
280,Zytor 30/60 SE,Insektisida,SE,isoflualanam,30,g/l,padi,penggerek batang,2,ml/l,2025-11-13,2030-11-13
281,Zytor 30/60 SE,Insektisida,SE,klorantraniliprol,60,g/l,padi,penggerek batang,2,ml/l,2025-11-13,2030-11-13
282,MANUVER 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,"1,5",ml/ha,2022-10-04,2027-10-04
283,AGADI 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,walang sangit,2,ml/l,2024-09-19,2029-09-19
284,AJI-DOR 30 WP,Insektisida,WP,Imidakloprid,30,%,padi,walang sangit,2,g/l,2024-03-05,2029-03-05
285,ASMEC 36 EC,Insektisida,EC,Abamektin,36,g/l,padi,walang sangit,"1,5",ml/l,2023-08-28,2028-08-28
286,BALISTIC 50 SC,Insektisida,SC,fipronil,50,g/l,padi,walang sangit,"1,5",ml/l,2024-09-19,2029-09-19
287,BAYCARB 500 EC,Insektisida,EC,fenobukarb,500,g/l,padi,walang sangit,1.5,ml/l,2025-09-26,2030-09-26
288,BESVIDOR 25 WP,Insektisida,WP,Imidakloprid,25,%,padi,walang sangit,1 - 2,g/l,2025-09-26,2030-09-26
289,BIOGENT 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,walang sangit,"0,5",l/ha,2022-12-05,2027-12-05
290,CHEVRO 50 WG,Insektisida,WG,Pimetrozin,50,%,padi,walang sangit,0.5,g/l,2022-12-05,2027-12-05
291,Dharmabas 500 EC,Insektisida,EC,BPMC,500,g/l,padi,walang sangit,2,ml/l,2022-12-05,2027-12-05
292,Dharmafur 3 GR,Insektisida,GR,karbofuran,3,%,padi,walang sangit,15,kg/ha,2022-12-05,2027-12-05
293,GRETA 500 EC,Insektisida,EC,BPMC,500,g/l,padi,walang sangit,2,ml/l,2024-03-04,2029-03-04
294,GUNTUR 75 WP,Insektisida,WP,Siromazin,75,%,padi,walang sangit,2,g/l,2023-02-08,2028-02-08
295,HOPPER 500 EC,Insektisida,EC,BPMC,500,g/l,padi,walang sangit,1.125,ml/l,2023-04-26,2028-04-26
296,HULK 20 SG,Insektisida,SG,Dinotefuran,20,%,padi,walang sangit,1,g/l,2025-09-26,2030-09-26
297,KARIBIAN 18 EC,Insektisida,EC,abamektin,18,g/l,padi,walang sangit,2,ml/l,2023-04-26,2028-04-26
298,KENTARA 200 EC,Insektisida,EC,Karbosulfan,200,g/l,padi,walang sangit,2,ml/l,2024-08-09,2029-08-09
299,MARSHAL 200 SC,Insektisida,SC,Karbosulfan,200,g/l,padi,walang sangit,2,ml/l,2022-10-04,2027-10-04
300,MEOTHRIN 50 EC,Insektisida,EC,Fenpropatrin,50,g/l,padi,walang sangit,0.75,ml/l,2023-08-28,2028-08-28
301,METARIZEP WP,Insektisida,WP,Beauveria bassiana,1 x 10^6,cfu/gr,padi,walang sangit,2,g/l,2022-10-04,2027-10-04
302,METARIZEP WP,Insektisida,WP,Metarhizium anisopliae,1 x 10^6,cfu/gr,padi,walang sangit,2,g/l,2022-10-04,2027-10-04
303,NEOFRON 60 SC,Insektisida,SC,Fipronil,60,g/l,padi,walang sangit,"0,75 - 1,5",ml/l,2023-08-28,2028-08-28
304,PENALTY 50 SC,Insektisida,SC,fipronil,50,g/l,padi,walang sangit,2,ml/l,2023-04-26,2028-04-26
305,Plenum 50 WG,Insektisida,WG,Pimetrozin,50,%,padi,walang sangit,250-300,g/ha,2024-03-05,2029-03-05
306,PROMOCYODAN 3 GR,Insektisida,GR,karbofuran,3,%,padi,walang sangit,17,kg/ha,2023-02-08,2028-02-08
307,PROMODAN 3 GR,Insektisida,GR,karbofuran,3,%,padi,walang sangit,17,kg/ha,2022-12-05,2027-12-05
308,REGENT 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,walang sangit,1,ml/l,2025-09-26,2030-09-26
309,RESPECT 200 EC,Insektisida,EC,karbosulfan,200,g/l,padi,walang sangit,"1,5 - 2",ml/l,2023-04-26,2028-04-26
310,SAWARNA 18 EC,Insektisida,EC,abamektin,18,g/l,padi,walang sangit,2,ml/l,2023-04-26,2028-04-26
311,SIDABAS 500 EC,Insektisida,EC,BPMC,500,g/l,padi,walang sangit,4,ml/l,2025-09-26,2030-09-26
312,SIDATAN 410 SL,Insektisida,SL,Dimehipo,410,g/l,padi,walang sangit,0.75,ml/l,2022-01-14,2027-01-14
313,SUMIALPHA 25 EC,Insektisida,EC,Esvenfalerat,25,g/l,padi,walang sangit,1,ml/l,2023-04-26,2028-04-26
314,TENCHU 20 SG,Insektisida,SG,dinotefuron,20,%,padi,walang sangit,"0,5",g/l,2025-09-26,2030-09-26
315,BASSA 500 EC,Insektisida,EC,BPMC,500,g/l,padi,walang sangit,2,ml/l,2026-04-20,2031-04-20
316,ABAKTIN 18 EC,Insektisida,EC,Abamectin,18,%,padi,wereng batang cokelat,2,ml/l,2024-03-05,2029-03-05
317,ABUKI 50 SL,Insektisida,SL,Imidakloprid,50,g/l,padi,wereng batang cokelat,1,ml/l,2023-04-26,2028-04-26
318,AGENT 50 SC,Insektisida,SC,fipronil,50,g/l,padi,wereng batang cokelat,1,ml/l,2023-04-26,2028-04-26
319,AGXAMET 25 WG,Insektisida,WG,Tiametoksam,25,%,padi,wereng batang cokelat,0.15,g/l,2022-12-05,2027-12-05
320,AGXINDOR 30 WG,Insektisida,WG,Indoksakarb,30,%,padi,wereng batang cokelat,1,g/l,2024-09-19,2029-09-19
321,AKESS 50 WG,Insektisida,WG,Pimetrozin,50,%,padi,wereng batang cokelat,1,g/l,2022-01-14,2027-01-14
322,ALAMO 350 SC,Insektisida,SC,Imidakloprid,350,g/l,padi,wereng batang cokelat,"112,5",ml/ha,2023-04-26,2028-04-26
323,ALDES 50/10 WG,Insektisida,WG,Fipronil,10,%,padi,wereng batang cokelat,1,g/l,2022-01-14,2027-01-14
324,ALDES 50/10 WG,Insektisida,WG,Pimetrozin,50,%,padi,wereng batang cokelat,1,g/l,2022-01-14,2027-01-14
325,ALPHADINE 6 GR,Insektisida,GR,dimehipo,6,%,padi,wereng batang cokelat,12,kg/ha,2022-06-27,2027-06-27
326,"AMFIPRON 0,3 GR",Insektisida,GR,Fipronil,"0,3",%,padi,wereng batang cokelat,25,kg/ha,2023-04-26,2028-04-26
327,AMURON 20/50 EC,Insektisida,EC,Emamektin benzoat,20,g/l,padi,wereng batang cokelat,1,ml/l,2024-03-04,2029-03-04
328,AMURON 20/50 EC,Insektisida,EC,Heksaflumuron,50,g/l,padi,wereng batang cokelat,1,ml/l,2024-03-04,2029-03-04
329,ANDROMEDA 50/100 EC,Insektisida,EC,Abamektin,50,g/l,padi,wereng batang cokelat,1,ml/l,2024-08-09,2029-08-09
330,ANDROMEDA 50/100 EC,Insektisida,EC,Asetamiprid,100,g/l,padi,wereng batang cokelat,1,ml/l,2024-08-09,2029-08-09
331,Aneto 50 EC,Insektisida,EC,fipronil,50,g/l,padi,wereng batang cokelat,"0,75",l/ha,2024-11-18,2029-11-18
332,APPLAUD 100 EC,Insektisida,EC,Buprofezin,100,g/l,padi,wereng batang cokelat,"1,5",ml/liter,2022-12-05,2027-12-05
333,ASPRIL 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,wereng batang cokelat,1,ml/l,2022-06-27,2027-06-27
334,ASSOCIATE 40/160 SC,Insektisida,SC,emamektin benzoat,40,g/l,padi,wereng batang cokelat,1,ml/l,2025-11-13,2030-11-13
335,ASSOCIATE 40/160 SC,Insektisida,SC,indosakarb,160,g/l,padi,wereng batang cokelat,1,ml/l,2025-11-13,2030-11-13
336,ASTERPIRAM 120 EC,Insektisida,EC,Nitenpyram,120,g/l,padi,wereng batang cokelat,2,ml/l,2025-02-17,2030-02-17
337,AVIDOR 25 WP,Insektisida,WP,imidakloprid,25,%,padi,wereng batang cokelat,"1,5",g/l,2026-01-20,2031-01-20
338,AVIMAX 20/100 EC,Insektisida,EC,abamektin,20,g/l,padi,wereng batang cokelat,"0,25",ml/l,2024-11-18,2029-11-18
339,AVIMAX 20/100 EC,Insektisida,EC,imidakloprid,100,g/l,padi,wereng batang cokelat,"0,25",ml/l,2024-11-18,2029-11-18
340,AVOS 525 SL,Insektisida,SL,Dimehipo,525,g/l,padi,wereng batang cokelat,"1,5",ml/l,2025-07-11,2030-07-11
341,BADIK 18 EC,Insektisida,EC,abamektin,18,g/l,padi,wereng batang cokelat,"0,75 - 1",ml/l,2022-10-04,2027-10-04
342,BALTIKO 68/2 WP,Insektisida,WP,imidakloprid,2,%,padi,wereng batang cokelat,"1,5",ml/l,2026-04-20,2031-04-20
343,BALTIKO 68/2 WP,Insektisida,WP,monosultap,68,%,padi,wereng batang cokelat,"1,5",ml/l,2026-04-20,2031-04-20
344,BESHIPO 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,wereng batang cokelat,"1,5",ml/l,2023-04-26,2028-04-26
345,BESTKING 60/20 WG,Insektisida,WG,Nitenpiram,20,%,padi,wereng batang cokelat,2,g/l,2025-02-17,2030-02-17
346,BESTKING 60/20 WG,Insektisida,WG,Pimetrozin,60,%,padi,wereng batang cokelat,2,g/l,2025-02-17,2030-02-17
347,BESTROXAM 30/10 WG,Insektisida,WG,Pimetrozin,30,%,padi,wereng batang cokelat,2,g/l,2025-02-17,2030-02-17
348,BESTROXAM 30/10 WG,Insektisida,WG,Tiametoksam,10,%,padi,wereng batang cokelat,2,g/l,2025-02-17,2030-02-17
349,BIOVAR P,Insektisida, P,Beauveria bassiana,"6,2 x 10^8",cfu/g,padi,wereng batang cokelat,4,g/l,2024-08-09,2029-08-09
350,BLADE 5/50 WP,Insektisida,WP,Nitenpyram,5,%,padi,wereng batang cokelat,2,g/l,2024-11-18,2029-11-18
351,BLADE 5/50 WP,Insektisida,WP,Pymetrozine,50,%,padi,wereng batang cokelat,2,g/l,2024-11-18,2029-11-18
352,BUPRO-NA 25 WP,Insektisida,WP,Buprofezin,25,%,padi,wereng batang cokelat,2,g/l,2023-04-26,2028-04-26
353,BURENG 20 WG,Insektisida,WG,Nitenpiram,20.00,%,padi,wereng batang cokelat,"0,25",g/l,2025-07-11,2030-07-11
354,CAMORA 100 SL,Insektisida,SL,Nitenpiram,100,g/l,padi,wereng batang cokelat,1,ml/l,2023-04-26,2028-04-26
355,CANTRIO 50 WG,Insektisida,WG,Pymetrozine,50,%,padi,wereng batang cokelat,1,g/l,2023-02-08,2028-02-08
356,CARBOTER 3 GR,Insektisida,GR,Karbofuran,3,%,padi,wereng batang cokelat,15,kg/ha,2023-04-26,2028-04-26
357,CATALAN 33 WP,Insektisida,WP,imidakloprid,33,%,padi,wereng batang cokelat,2,g/l,2026-01-20,2031-01-20
358,CENTADINE 450 SL,Insektisida,SL,dimehipo,450,g/l,padi,wereng batang cokelat,3,ml/l,2022-10-04,2027-10-04
359,CHLORANLIER 200 SC,Insektisida,SC,klorantraniliprol,200,g/l,padi,wereng batang cokelat,1,ml/l,2024-11-18,2029-11-18
360,Cleverole 50 SC,Insektisida,SC,Klorantraniliprol,50,g/l,padi,wereng batang cokelat,2,ml/l,2025-02-17,2030-02-17
361,CONDIOR 25 WP,Insektisida,WP,Imidakloprid,25,%,padi,wereng batang cokelat,"1,5",g/l,2025-11-13,2030-11-13
362,CONQUER 100/200 SC,Insektisida,SC,Klorantraniliprol,100,g/l,padi,wereng batang cokelat,"0,4",ml/l,2025-07-11,2030-07-11
363,CONQUER 100/200 SC,Insektisida,SC,Tiametoksam,200,g/l,padi,wereng batang cokelat,"0,4",ml/l,2025-07-11,2030-07-11
364,CYPIRAN 12.5 WP,Insektisida,WP,Nitenpiram,12.5,%,padi,wereng batang cokelat,"1,5",g/l,2024-11-18,2029-11-18
365,D-REJEN 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,wereng batang cokelat,2,ml/l,2025-11-13,2030-11-13
366,DEFENDER 10/50 WG,Insektisida,WG,Nitenpiram,10,%,padi,wereng batang cokelat,1.5,g/l,2023-08-28,2028-08-28
367,DEFENDER 10/50 WG,Insektisida,WG,Pimetrozin,50,%,padi,wereng batang cokelat,1.5,g/l,2023-08-28,2028-08-28
368,DEFRON 500 SL,Insektisida,SL,dimehipo,500,g/l,padi,wereng batang cokelat,1,ml/l,2025-07-11,2030-07-11
369,Defuser 20/60 WG,Insektisida,WG,nitenpiram,20,%,padi,wereng batang cokelat,1.5,g/l,2024-03-04,2029-03-04
370,Defuser 20/60 WG,Insektisida,WG,pimetrozin,60,%,padi,wereng batang cokelat,1.5,g/l,2024-03-04,2029-03-04
371,DEKAPIRIM 400 SC,Insektisida,SC,imidakloprid,200,g/l,padi,wereng batang cokelat,1,ml/l,2023-04-26,2028-04-26
372,DEKAPIRIM 400 SC,Insektisida,SC,klorfenapir,200,g/l,padi,wereng batang cokelat,1,ml/l,2023-04-26,2028-04-26
373,DELADAXIN 50/90 SC,Insektisida,SC,Spinetoram,90,g/l,padi,wereng batang cokelat,1.7,ml/l,2022-12-05,2027-12-05
374,DELADAXIN 50/90 SC,Insektisida,SC,Triflumezopyrim,50,g/l,padi,wereng batang cokelat,1.7,ml/l,2022-12-05,2027-12-05
375,DELOUSE 25 WP,Insektisida,WP,imidakloprid,25,%,padi,wereng batang cokelat,"1,5",g/l,2024-03-04,2029-03-04
376,DEMIOS 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,wereng batang cokelat,2,ml/l,2024-03-04,2029-03-04
377,DESTAR 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,wereng batang cokelat,1,ml/l,2022-10-04,2027-10-04
378,DETONATOR 20 WP,Insektisida,WP,buprofezin,10,%,padi,wereng batang cokelat,2,g/l,2023-02-08,2028-02-08
379,DETONATOR 20 WP,Insektisida,WP,etofenproks,10,%,padi,wereng batang cokelat,2,g/l,2023-02-08,2028-02-08
380,Dharmafur 3 GR,Insektisida,GR,karbofuran,3,%,padi,wereng batang cokelat,25.5,kg/ha,2022-12-05,2027-12-05
381,DIAMONA 40/20 WG,Insektisida,WG,Dinotefuran,20,%,padi,wereng batang cokelat,"1,5",g/l,2025-09-26,2030-09-26
382,DIAMONA 40/20 WG,Insektisida,WG,Pimetrozin,40,%,padi,wereng batang cokelat,"1,5",g/l,2025-09-26,2030-09-26
383,DIMPO 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,wereng batang cokelat,3,ml/l,2023-04-26,2028-04-26
384,E-BUNITE 60/10 WP,Insektisida,WP,Buprofezin,60,%,padi,wereng batang cokelat,2,g/l,2026-04-20,2031-04-20
385,E-BUNITE 60/10 WP,Insektisida,WP,Nitenpiram,10,%,padi,wereng batang cokelat,2,g/l,2026-04-20,2031-04-20
386,ET-HIPO 500 SL,Insektisida,SL,dimehipo,500,g/l,padi,wereng batang cokelat,2,ml/l,2025-11-13,2030-11-13
387,EXPERTO 300 SC,Insektisida,SC,Imidakloprid,200,g/l,padi,wereng batang cokelat,"1,5",ml/l,2023-04-26,2028-04-26
388,EXPERTO 300 SC,Insektisida,SC,Klorfenapir,100,g/l,padi,wereng batang cokelat,"1,5",ml/l,2023-04-26,2028-04-26
389,FERADIPO 500 SL,Insektisida,SL,dimehipo,500,g/l,padi,wereng batang cokelat,2.5,ml/l,2023-08-28,2028-08-28
390,FICAZ 25 SP,Insektisida,SP,Nitenpiram,25,%,padi,wereng batang cokelat,1,g/l,2024-03-04,2029-03-04
391,FIPROZOLE 50 SC,Insektisida,SC,Fipronil,50,g/l,padi,wereng batang cokelat,1,ml/l,2025-02-17,2030-02-17
392,FOLTUS PLUS 500 SL,Insektisida,SL,dimehipo,500,g/l,padi,wereng batang cokelat,2,ml/l,2025-07-11,2030-07-11
393,FURATUR 3 GR,Insektisida,GR,Karbofuran,3,%,padi,wereng batang cokelat,"25,5",kg/ha,2023-04-26,2028-04-26
394,FURROZ 40/20 WG,Insektisida,WG,dinotefuran,20,%,padi,wereng batang cokelat,0.5,g/l,2024-03-04,2029-03-04
395,FURROZ 40/20 WG,Insektisida,WG,pymetrozine,40,%,padi,wereng batang cokelat,0.5,g/l,2024-03-04,2029-03-04
396,Gardara 10 SP,Insektisida,SP,Nitenpyram,10,%,padi,wereng batang cokelat,2,g/l,2023-02-08,2028-02-08
397,GARNET 80 WG,Insektisida,WG,Fipronil,80,%,padi,wereng batang cokelat,0.1,g/l,2026-01-20,2031-01-20
398,GAVIN 35 WP,Insektisida,WP,Nitenpiram,10.00,%,padi,wereng batang cokelat,1.5,g/l,2023-04-26,2028-04-26
399,GAVIN 35 WP,Insektisida,WP,Tiametoksam,25.00,%,padi,wereng batang cokelat,1.5,g/l,2023-04-26,2028-04-26
400,GENIUS 20/125 OD,Insektisida,OD,Abamektin,20,g/l,padi,wereng batang cokelat,2,ml/l,2023-04-26,2028-04-26
